               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 149,            0.067473,            0.059305,            0.017117,             0.11632,             0.39443,             0.20362,             0.11207,            0.065956,            0.030082,            0.017521,          0.00082652,          0.00082652,            0.085927
                 150,              0.0671,            0.044007,            0.012694,             0.11632,             0.39443,             0.20362,             0.11207,            0.065956,            0.030082,            0.017521,            0.000825,            0.000825,            0.085825
                 151,            0.062989,            0.052492,             0.01076,             0.12446,             0.39785,             0.20795,             0.10419,            0.065152,            0.030053,             0.01744,          0.00082338,          0.00082338,            0.085723
                 152,            0.061098,            0.058381,            0.016372,             0.12446,             0.39785,             0.20795,             0.10419,            0.065152,            0.030053,             0.01744,          0.00082168,          0.00082168,            0.085622
                 153,            0.060273,            0.072911,            0.013452,             0.14194,             0.39667,             0.21637,             0.10184,            0.064832,            0.029899,            0.017355,          0.00081987,          0.00081987,             0.08552
                 154,            0.065302,            0.086679,            0.014886,             0.14194,             0.39667,             0.21637,             0.10184,            0.064832,            0.029899,            0.017355,          0.00081798,          0.00081798,            0.085418
                 155,            0.074265,            0.042352,             0.02097,             0.13225,                 0.4,             0.21902,             0.10831,            0.064322,            0.029847,            0.017191,            0.000816,            0.000816,            0.085316
                 156,            0.067807,            0.058505,            0.011495,             0.13225,                 0.4,             0.21902,             0.10831,            0.064322,            0.029847,            0.017191,          0.00081392,          0.00081392,            0.085214
                 157,            0.071397,            0.084318,            0.019436,             0.13273,                 0.4,             0.21842,             0.10815,            0.064022,            0.029795,            0.017101,          0.00081176,          0.00081176,            0.085112
                 158,            0.065269,            0.054089,            0.015465,             0.13273,                 0.4,             0.21842,             0.10815,            0.064022,            0.029795,            0.017101,          0.00080951,          0.00080951,             0.08501
                 159,            0.057037,            0.059036,            0.013941,             0.13285,             0.39815,             0.21914,             0.10833,            0.064786,             0.02967,            0.017041,          0.00080717,          0.00080717,            0.084907
                 160,            0.061616,            0.047779,              0.0112,             0.13285,             0.39815,             0.21914,             0.10833,            0.064786,             0.02967,            0.017041,          0.00080474,          0.00080474,            0.084805
